"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"469","2020-12-15","2020-12-15","Hollywood","ROBBERY","29","F","B","1994"
"470","2020-01-16","2020-01-16","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","33","M","H","1990"
"471","2020-01-17","2020-01-17","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","30","M","O","1993"
"472","2020-01-16","2020-01-16","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","46","M","B","1977"
"473","2020-01-16","2020-01-16","Central","ROBBERY","20","M","W","2003"
"474","2020-01-16","2020-01-16","Southeast","RAPE, FORCIBLE","18","F","B","2005"
"475","2020-01-16","2020-01-16","Central","BATTERY - SIMPLE ASSAULT","40","M","W","1983"
"476","2020-01-16","2020-01-16","Central","KIDNAPPING - GRAND ATTEMPT","46","F","H","1977"
"477","2020-01-16","2020-01-16","Wilshire","BURGLARY FROM VEHICLE","43","F","B","1980"
"478","2020-01-17","2020-01-17","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","27","M","B","1996"
"479","2020-11-20","2020-11-20","Central","BURGLARY FROM VEHICLE","25","M","A","1998"
"480","2020-01-17","2020-01-17","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","41","M","H","1982"
"481","2020-09-18","2020-09-18","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","43","F","O","1980"
"482","2021-04-11","2021-04-11","Central","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","48","M","W","1975"
"483","2020-01-17","2020-01-17","Harbor","CRIMINAL THREATS - NO WEAPON DISPLAYED","33","F","W","1990"
"484","2020-01-17","2020-01-17","Central","THEFT PLAIN - PETTY ($950 & UNDER)","30","M","W","1993"
"485","2020-01-17","2020-01-17","Central","BURGLARY FROM VEHICLE","68","F","W","1955"
"486","2020-02-10","2020-02-10","Central","INTIMATE PARTNER - SIMPLE ASSAULT","23","F","O","2000"
"487","2020-01-13","2020-01-13","Central","THEFT, PERSON","53","M","W","1970"
"488","2020-01-16","2020-01-16","Central","INTIMATE PARTNER - SIMPLE ASSAULT","29","M","W","1994"
"489","2020-01-16","2020-01-16","Central","BURGLARY FROM VEHICLE","23","F","B","2000"
"490","2020-01-17","2020-01-17","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","38","M","H","1985"
"491","2020-01-17","2020-01-17","Central","THEFT PLAIN - PETTY ($950 & UNDER)","48","M","B","1975"
"492","2020-01-17","2020-01-17","Central","BURGLARY FROM VEHICLE","34","F","B","1989"
"493","2020-01-17","2020-01-17","Central","ATTEMPTED ROBBERY","69","M","B","1954"
"494","2020-01-17","2020-01-17","Central","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","23","M","A","2000"
"495","2020-01-17","2020-01-17","Central","BURGLARY FROM VEHICLE","30","F","H","1993"
"496","2020-01-17","2020-01-17","Central","BATTERY WITH SEXUAL CONTACT","31","F","H","1992"
"497","2020-10-10","2020-10-10","Hollenbeck","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","45","M","I","1978"
"498","2020-01-18","2020-01-18","Central","INTIMATE PARTNER - AGGRAVATED ASSAULT","22","F","W","2001"
"499","2020-01-18","2020-01-18","Central","CRIMINAL THREATS - NO WEAPON DISPLAYED","38","F","H","1985"
"500","2020-01-18","2020-01-18","Central","BRANDISH WEAPON","28","M","W","1995"
"501","2020-01-18","2020-01-18","Central","BURGLARY FROM VEHICLE","61","M","W","1962"
"502","2020-12-10","2020-12-10","Central","BURGLARY FROM VEHICLE","23","M","W","2000"
"503","2020-09-19","2020-09-19","Northeast","BATTERY - SIMPLE ASSAULT","24","F","H","1999"
"504","2020-01-18","2020-01-18","Olympic","THEFT OF IDENTITY","60","M","H","1963"
"505","2020-01-17","2020-01-17","Devonshire","THEFT OF IDENTITY","56","F","B","1967"
"506","2020-01-17","2020-01-17","Central","CRIMINAL THREATS - NO WEAPON DISPLAYED","46","F","O","1977"
"507","2020-12-16","2020-12-16","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","53","M","W","1970"
"508","2020-01-17","2020-01-17","Southeast","THEFT OF IDENTITY","26","M","B","1997"
"509","2020-01-18","2020-01-18","Central","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","21","F","H","2002"
"510","2020-12-17","2020-12-17","Central","INTIMATE PARTNER - AGGRAVATED ASSAULT","21","F","H","2002"
"511","2020-01-09","2020-01-09","Central","BATTERY - SIMPLE ASSAULT","50","F","W","1973"
"512","2020-01-17","2020-01-17","West LA","BATTERY - SIMPLE ASSAULT","71","M","A","1952"
"513","2020-01-17","2020-01-17","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","24","M","H","1999"
"514","2020-01-17","2020-01-17","Central","BURGLARY","36","F","W","1987"
"515","2020-02-20","2020-02-20","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","30","F","H","1993"
"516","2020-01-18","2020-01-18","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","57","M","H","1966"
"517","2020-01-17","2020-01-17","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","38","F","H","1985"
"518","2020-01-18","2020-01-18","Central","BATTERY - SIMPLE ASSAULT","63","M","B","1960"
"519","2020-01-18","2020-01-18","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","25","F","H","1998"
"520","2020-12-12","2020-12-12","Central","BIKE - STOLEN","14","M","W","2009"
"521","2020-01-18","2020-01-18","Central","BIKE - STOLEN","12","M","H","2011"
"522","2020-01-18","2020-01-18","Central","BATTERY - SIMPLE ASSAULT","65","M","H","1958"
"523","2020-01-18","2020-01-18","Central","INTIMATE PARTNER - SIMPLE ASSAULT","46","F","O","1977"
"524","2020-01-18","2020-01-18","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","46","F","O","1977"
"525","2020-01-18","2020-01-18","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","64","M","W","1959"
"526","2020-01-18","2020-01-18","Central","THEFT, PERSON","23","F","O","2000"
"527","2021-06-14","2021-06-14","Central","BATTERY - SIMPLE ASSAULT","60","M","A","1963"
"528","2020-01-18","2020-01-18","Central","BURGLARY FROM VEHICLE","63","M","W","1960"
"529","2020-01-18","2020-01-18","Central","BATTERY - SIMPLE ASSAULT","66","F","H","1957"
"530","2020-01-18","2020-01-18","Central","ROBBERY","55","M","W","1968"
"531","2020-01-18","2020-01-18","77th Street","INTIMATE PARTNER - AGGRAVATED ASSAULT","27","F","H","1996"
"532","2020-01-18","2020-01-18","Central","BURGLARY FROM VEHICLE","20","F","W","2003"
"533","2020-02-16","2020-02-16","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","76","F","O","1947"
"534","2020-01-18","2020-01-18","Central","TRESPASSING","38","M","O","1985"
"535","2022-08-06","2022-08-06","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","38","M","O","1985"
"536","2020-09-16","2020-09-16","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","47","F","A","1976"
"537","2021-12-01","2021-12-01","Central","THEFT PLAIN - PETTY ($950 & UNDER)","60","M","O","1963"
"538","2020-01-17","2020-01-17","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","51","F","H","1972"
"539","2020-01-18","2020-01-18","Central","BATTERY - SIMPLE ASSAULT","60","F","B","1963"
"540","2022-01-21","2022-01-21","Central","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","28","F","H","1995"
"541","2020-01-18","2020-01-18","Central","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","23","M","H","2000"
"542","2020-01-18","2020-01-18","Central","BOMB SCARE","24","M","W","1999"
"543","2020-09-20","2020-09-20","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","39","M","W","1984"
"544","2020-07-29","2020-07-29","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","33","M","H","1990"
"545","2020-01-19","2020-01-19","Central","BURGLARY FROM VEHICLE","28","M","B","1995"
"546","2020-01-19","2020-01-19","Central","BIKE - STOLEN","14","M","H","2009"
